food_id,shortname_eng
4994,Natural Yogurt
4995,Yogurt with Fruits
4996,Yogurt with toppings
4997,Yogurt with fruits
4998,Sweet Yogurt
4999,Natural Yogurt
5000,Sweet Yogurt
5001,Natural Yogurt
5002,Yogurt with Fruits
5003,Fruit flavored Yogurt
5004,Diet flavored Yogurt
5005,Diet flavored Yogurt
5006,Labaneh
5007,Labaneh
5008,Labaneh
5009,Sheep milk Labaneh
5010,Labaneh
5011,Labaneh
5012,Labaneh
5013,Labaneh balls
5014,Homemade Labaneh
5015,Labaneh balls
5016,Sheep milk Labaneh
5017,Labaneh balls
5018,Labaneh
5019,Labaneh
5020,Labaneh
5021,Buffalo milk Labaneh
5022,Natural Yogurt
5023,Yogurt and Granola
5024,Sweet Yogurt
5025,Natural Yogurt
5026,Sweet Yogurt
5027,Natural Frozen Yogurt
5028,Frozen yogurt
5029,Chocolate Milk
5030,Flavored milk drinks
5031,Mocaccino
5032,Diet Chocolate Milk
5033,Chocolate Milk
5034,Diet Chocolate Milk
5035,Ice Coffee
5036,Banana Drink Milk
5037,Caramel Drink Milk
5038,Milkshake
5039,Diet Ice Coffee
5040,Flavored Materna drink
5041,Milk Smoothies
5042,Chocolate Milk
5043,Flavored milk drinks
5044,Milkshake
5123,Whey
5124,Sweetened Cocoa Powder
5125,Sweetened Cocoa Powder
5126,Diet Cocoa Powder
5127,Flavored Materna powder
5128,Chocolate Milk
5129,Cocoa Powder
5130,Sweetened Cocoa Powder
5131,Diet Cocoa Powder
5132,Cocoa Powder
5133,Cocoa Powder
5134,Protein supplement
5135,Protein supplement
5136,Protein supplement
5152,Cooking cream
5153,Whipped cream
5154,Whipped cream
5155,Whipped cream
5156,Whipped cream
5157,Cream Cheese balls
5158,Whipped cream
5159,Vanilla Whipped cream
5160,Chocolate Whipped cream
5161,Cream substitute
5162,Cream substitute
5163,Whipped cream
5164,Coffee creamer
5165,Coffee creamer
5166,Whipped cream
5167,Whipped cream
5168,Light cream
5169,Heavy cream
5170,Heavy cream
5171,Ice cream
5172,Ice cream
5173,Ice cream
5174,Ice cream
5175,Ice cream
5176,Ice cream
5177,Ice cream
5178,Ice cream
5179,Ice cream
5180,Ice cream
5182,Ice cream
5184,Ice cream
5185,Ice cream
5186,Ice cream
5189,Ice cream
5190,Ice cream
5191,Ice cream
5192,Ice cream
5193,Ice cream
5194,Ice cream
5195,Sherbet
5196,Frozen yogurt
5198,Ice cream
5199,Ice cream
5200,Ice cream
5202,Ice cream bar
5203,Covered Ice cream bar
5204,Ice cream
5205,Ice cream
5206,Ice cream bar
5207,Ice cream bar
5208,Ice cream
5209,Ice cream
5210,Ice cream bar
5211,Ice cream bar
5212,Ice cream
5213,Ice cream
5214,Ice cream
5215,Ice cream
5216,Ice cream
5218,Ice cream
5220,Ice cream
5221,Ice cream
5222,Ice cream bar
5223,Ice cream
5224,Ice cream KNOCKOUT
5225,Vanilla Ice cream
5226,Fruits Ice cream
5227,Sherbet
5228,Chocolate Ice cream
5229,Ice cream bar
5230,Ice cream bar
5232,Ice cream
5233,Ice cream
5234,Ice cream
5235,Ice cream and toppings
5236,Ice cream bar
5237,Ice cream
5239,Ice cream
5240,Ice cream
5241,Ice cream
5242,Ice cream
5243,Ice cream
5244,Ice cream
5245,Ice cream cake
5247,Ice cream
5248,Ice cream
5249,Whipped Cream Pudding
5250,Vanilla Pudding
5251,Chocolate Pudding
5252,Chocolate Pudding
5253,Dairy Pudding
5254,Vanilla Pudding
5255,Dairy Pudding
5256,Vanilla Pudding
5257,Vanilla Pudding
5258,Chocolate Pudding
5259,Triple layer Pudding
5260,Triple layer Pudding
5261,Dairy Pudding
5262,Chocolate Vanilla Pudding
5263,Banana Pudding
5264,Chocolate Pudding
5265,Milky
5266,Vanilla Instant Pudding
5267,Instant Pudding
5268,Rice Pudding
5269,Malabi
5270,Salep
5271,Low fat Salep
5272,Salep powder
5273,Milky
5274,Milky
5275,Milky Light
5276,Milky
5277,Diet Dairy Pudding
5278,Diet Dairy Pudding
5279,Low fat Dairy Pudding
5280,Chocolate Mousse
5281,Chocolate Mousse
5282,Bavarian cream
5283,Dulce de Leche Mousse
5284,Bavarian cream
5285,Dulce de Leche
5286,Heavy cream
5287,Cooking cream
5288,Mushroom sauce
5289,Alfredo Sauce
5290,Alfredo Sauce
5291,Mushroom sauce
5292,White salad dressing
5293,Heavy cream
5294,Heavy cream
5295,Milk soup
5296,Yellow Cheese
5297,Yellow Cheese
5298,Parmesan cheese
5299,Tzfatit Goat Cheese
5300,Roquefort
5301,Tzfatit Cheese
5302,Salty Cheese
5303,Tzfatit Buffalo Cheese
5304,Camembert or Brie
5305,Camembert or Brie
5306,Mozzarella Cheese
5307,Mozzarella Cheese
5308,Mozzarella Cheese
5309,Yellow Cheese
5310,Yellow Cheese
5311,Processed Cheese
5312,Tzfatit Cheese
5313,Yellow Cheese
5314,Yellow Cheese
5315,White Cheese
5316,Tzfatit Cheese
5317,Tzfatit Cheese
5318,Salty Cheese
5319,Salty Cheese
5320,Salty Cheese
5321,Salty Cheese
5322,Tzfatit Cheese
5323,Tzfatit Cheese
5324,Tzfatit Cheese
5325,Tzfatit Cheese
5326,Salty Cheese
5327,Salty Cheese
5328,Salty Cheese
5329,Salty Cheese
5330,Feta Cheese
5331,Tzfatit Cheese
5332,Salty Cheese
5333,Tzfatit Cheese
5334,Salty Cheese
5335,Salty Cheese
5336,Tzfatit Cheese
5337,Salty Cheese
5338,Salty Cheese
5339,Salty Cheese
5340,Goat Cheese
5341,Pecorino
5342,Goat Cheese
5343,Goat Cheese
5344,Salty Cheese
5345,Goat Cheese
5346,Goat Cheese
5347,Feta Cheese
5348,Feta Cheese
5349,Goat Cheese
5350,Goat Cheese
5351,Goat Cheese
5352,Goat Cheese
5353,Kashkaval
5354,Kashkaval
5355,Light Yellow Cheese
5356,Kashkaval
5357,Stuffed Vine leaves
5358,Light Yellow Cheese
5359,Processed Cheese
5360,Feta Cheese
5361,Salty Cheese
5362,Feta Cheese
5363,Salty Cheese
5364,Salty Cheese
5365,Brie Cheese
5366,Feta Cheese
5367,Feta Cheese
5368,Salty Cheese
5369,White Cheese
5370,Halloumi Cheese
5371,Halloumi Cheese
5372,Halloumi Cheese
5373,Yellow Cheese
5374,Parmesan cheese
5375,Yellow Cheese
5376,Cottage cheese
5377,Cottage cheese
5378,White Cheese
5379,Cottage cheese
5380,Cottage and Yogurt
5381,Cottage and Yogurt
5382,Cottage cheese
5383,Cottage cheese
5384,Cottage and topping
5385,Cottage cheese
5386,Cottage cheese
5387,Cottage cheese
5388,Cottage cheese
5389,Ricotta Cheese
5390,Ricotta Cheese
5391,Ricotta Cheese
5392,Ricotta Cheese
5393,Ricotta Cheese
5394,Yogurt Cheese
5395,Yogurt Cheese
5396,Sweetened White Cheese
5397,Sweetened White Cheese
5398,Cheese with Chocolate
5399,Diet Sweetened Cheese
5400,Sweetened White Cheese
5401,Cheese with Fruits
5402,Cheese with raisins
5403,White Cheese
5404,Cheese with Fruits
5405,White Cheese
5406,White Cheese
5407,Goat Cheese
5408,White Cheese
5409,White Cheese
5410,White Cheese
5411,Cheese with Olives
5412,Light Cream Cheese
5413,White Cheese
5414,White Cheese
5415,White Cheese
5416,White Cheese
5417,Cheese with Olives
5418,White Cheese
5419,Cheese with Olives
5420,White Cheese
5421,Light Cream Cheese
5422,Light Cream Cheese
5423,White Cheese
5424,Sweetened White Cheese
5425,White Cheese
5426,Light Cream Cheese
5427,Olives White Cheese
5428,White Cheese
5429,White Cheese
5430,Goat Cream Cheese
5431,White Cheese
5432,Cream Cheese
5433,Cream Cheese
5434,Mascarpone Cheese
5435,Cream Cheese
5436,Chocolate Covered Cheese
5437,Cream Cheese
5438,Olives/Dill Cream Cheese
5439,Light Cream Cheese
5440,Semi soft Cheese
5441,Semi soft Cheese
5442,Semi soft Cheese
5443,Semi soft Cheese
5444,Semi soft Cheese
5445,Semi soft Cheese
5446,Semi soft Cheese
5447,Semi soft Cheese
5448,Edam Cheese
5449,Yellow Cheese
5450,Cheddar
5451,Mozzarella Cheese
5452,Yellow Cheese
5453,Yellow Cheese
5454,Yellow Cheese
5455,Light Yellow Cheese
5456,Salty Cheese Sandwich
5457,Cheese Sandwich
5458,Yellow Cheese Sandwich
5459,Fried Goat Cheese
5460,Mozzarella Cheese
5461,Fried Mozzarella Cheese
5462,Mozzarella Cheese
5463,Fried Mozzarella Cheese
5464,Fried Mozzarella Cheese
5465,Fried Salty Cheese
5466,Cheese Pie
5467,Potato pancakes
5468,Fried Cheese Balls
5469,Cheese dumplings
5470,Beef
5471,Beef
5472,Beef
5473,Beef
5474,Beef
5475,Beef
5476,Beef Fillet
5477,Steak
5478,Steak
5479,Entrecote
5480,Beef
5481,Beef
5482,Beef
5483,Entrecote
5484,Entrecote
5485,Beef
5486,Beef
5487,Beef
5488,Sirloin
5489,Beef
5490,Rump Roast
5491,Beef
5492,Steak
5493,Steak
5494,Steak
5495,Steak
5496,Steak
5497,Steak
5498,Steak
5499,Steak
5500,Steak
5501,Beef
5502,Beef
5503,Beef
5504,Beef
5505,Roast beef
5506,Beef
5507,Beef
5508,Roast beef
5509,Beef
5510,Beef
5511,Beef
5512,Beef Fillet
5513,Beef
5514,Beef
5515,Beef Fillet
5516,Beef
5517,Beef
5518,Beef
5519,Beef
5520,Beef Fillet
5521,Beef Fillet
5522,Beef and Beans
5523,Beef and Beans
5524,Beef and Spinach
5525,Beef
5526,Beef
5527,Beef and pepper
5528,Beef
5529,Beef and Mushrooms
5530,Beef
5531,Beef
5532,Beef
5534,Beef
5535,Beef
5536,Beef
5537,Beef
5538,Beef
5539,Meatballs
5540,Meatballs
5541,Hamburger
5542,Hamburger
5543,Minced meat
5544,Kebab
5545,Kebab
5546,Meatballs
5547,Hamburger
5548,Hamburger
5549,Kebab
5550,Kebab
5551,Kebab
5552,Minced meat
5553,Meatballs
5554,Meatballs
5555,Meatballs
5556,Meatballs
5557,Meatballs
5558,Meatballs
5559,Meatballs and potatoes
5560,Meatballs
5561,Cold cut
5562,Beef
5563,Cold cut
5564,Hamburger
5565,Roast beef
5566,Beef Cholent
5567,Beef Cholent
5568,Beef Cholent
5569,Beef Cholent
5570,Beef Cholent
5571,Beef Cholent
5572,Beef Cholent
5573,Chicken Cholent 
5574,Chicken Cholent
5575,Turkey and Rice
5576,Pork
5577,Pork
5578,Pork
5579,Pork
5580,Pork
5581,Pork Steak
5582,Pork Steak
5583,Pork
5584,Pork
5585,Pork
5586,Pork
5587,Pork
5588,Pork
5589,Pork
5590,Mutton
5591,Mutton
5592,Mutton
5593,Mutton
5594,Mutton
5595,Mutton
5596,Mutton
5597,Mutton with sauce
5598,Mutton
5599,Mutton
5600,Mutton
5601,Mutton
5602,Mutton
5603,Mutton
5604,Mutton
5605,Mutton
5606,Mutton
5607,Mutton
5608,Mutton
5609,Mutton
5610,Lamb Kebabs
5611,Mutton
5612,Kebab
5613,Meatballs
5614,Lamb Meatballs
5615,Lamb Meatballs
5616,Veal
5617,Veal and Eggplants
5618,Veal and Vegetables
5619,Veal and Vegetables
5620,Veal
5621,Veal
5622,Veal
5623,Lamb Meatballs
5624,Lamb Meatballs
5625,Goat meat
5626,Goat meat
5627,Goat meat
5628,Veal
5629,Veal
5630,Veal
5631,Veal
5632,Veal and Mayonnaise
5633,Veal Fillet
5634,Veal
5635,Veal
5636,Veal kebabs
5637,Veal
5638,Veal Meatballs
5639,Veal Fillet
5640,Veal Meatballs
5641,Veal
5642,Veal Meatballs
5643,Veal
5644,Meatballs and potatoes
5645,Veal
5646,Veal and Rice
5647,Veal
5648,Veal and Potatoes
5649,Veal and Spinach
5650,Veal Cutlet
5651,Veal Steak
5652,Veal Steak
5653,Veal Steak
5654,Veal
5655,Veal
5656,Veal Cutlet
5657,Veal Steak
5658,Veal Steak
5659,Veal
5660,Veal
5661,Veal meatballs
5662,Veal Hamburger
5663,Rabbit meat
5664,Venison
5665,Venison
5666,Chicken
5667,Chicken
5668,Chicken in BBQ
5669,Pullet
5670,Chicken
5671,Chicken
5672,Chicken
5673,Chicken
5674,Chicken
5675,Chicken
5676,Pullet
5677,Chicken breast
5678,Chicken breast
5679,Chicken Hearts
5680,Chicken breast
5681,Chicken breast
5682,Chicken breast
5683,Chicken breast
5684,Chicken breast
5685,Chicken breast
5686,Chicken breast
5687,Chicken breast
5688,Chicken breast
5689,Chicken breast
5690,Chicken breast
5691,Stuffed Chicken
5692,Chicken breast
5693,Schnitzel
5694,Schnitzel
5695,Schnitzel
5696,Schnitzel
5697,Schnitzel
5698,Schnitzel
5699,Schnitzel
5700,Schnitzel
5701,Schnitzel
5702,Schnitzel
5703,Chicken breast
5704,Chicken breast
5705,Chicken breast
5706,Chicken breast
5707,Chicken breast
5708,Schnitzel
5709,Chicken breast
5710,Chicken legs
5711,Chicken legs
5712,Chicken legs
5713,Chicken legs
5714,Chicken legs
5715,Chicken legs
5716,Chicken legs
5717,Chicken legs
5718,Chicken
5719,Chicken legs
5720,Chicken legs
5721,Chicken legs
5722,Chicken legs
5723,Chicken and vegetables
5724,Chicken legs
5725,Chicken with Dried Fruit
5726,Chicken drumstick
5727,Chicken drumstick
5728,Chicken drumstick
5729,Chicken drumstick
5730,Chicken drumstick
5731,Chicken drumstick
5732,Chicken drumstick
5733,Chicken drumstick
5734,Chicken legs
5735,Chicken legs
5736,Chicken drumstick
5737,Chicken drumstick
5738,Fried drumstick
5739,Fried drumstick
5740,Chicken drumstick
5741,Chicken drumstick
5742,Chicken drumstick
5743,Chicken drumstick
5744,Chicken legs
5745,Chicken drumstick
5746,Chicken drumstick
5747,Chicken thighs
5748,Chicken thighs
5749,Chicken thighs
5750,Chicken
5751,Chicken thighs
5752,Chicken thighs
5753,Chicken thighs
5754,Chicken thighs
5755,Chicken
5756,Chicken thighs
5757,Chicken thighs
5758,Chicken thighs
5759,Chicken thighs
5760,Chicken thighs
5761,Chicken thighs
5762,Chicken thighs
5763,Chicken thighs
5764,Chicken thighs
5765,Chicken Sausage
5766,Chicken Sausage
5767,Chicken wings
5768,Chicken wings
5769,Chicken wings
5770,Chicken wings
5771,Chicken wings
5772,Chicken wings
5773,Chicken wings
5774,Chicken wings
5775,Chicken wings
5776,Chicken wings
5777,Fried Chicken wings
5778,Fried Chicken wings
5779,Chicken wings
5780,Chicken wings
5781,Chicken Gizzards
5782,Chicken
5783,Chicken
5784,Chicken Meatballs
5785,Chicken
5786,Chicken Meatballs
5787,Chicken
5788,Chicken Necks
5789,Chicken Necks
5790,Chicken Necks
5791,Chicken
5792,Chicken
5793,Chicken
5794,Chicken feet
5795,Chicken
5796,Stuffed Chicken
5797,Chicken shish
5798,Chicken Steak
5799,Chicken Shawarma
5800,Chicken Steak
5801,Chicken Kebab
5802,Chicken
5803,Chicken meatballs
5804,Chicken
5805,Chicken
5806,Chicken
5807,Schnitzel
5808,Schnitzel
5809,Chicken Kebab
5810,Schnitzel
5811,Nuggets
5812,Schnitzel
5813,Chicken fillet
5814,Schnitzel
5815,Nuggets
5816,Nuggets
5817,Turkey
5818,Turkey
5819,Turkey breast
5820,Turkey
5821,Turkey breast
5822,Fried Chicken wings
5823,Schnitzel
5824,Schnitzel
5825,Schnitzel
5826,Schnitzel
5827,Schnitzel
5828,Schnitzel
5829,Schnitzel
5830,Schnitzel
5831,Schnitzel
5832,Turkey
5833,Turkey breast
5834,Schnitzel
5835,Turkey
5836,Turkey and peppers
5837,Schnitzel
5838,Turkey
5839,Turkey breast
5840,Turkey in BBQ
5841,Turkey
5842,Turkey
5843,Chicken fillet
5844,Turkey breast
5845,Schnitzel
5846,Turkey breast
5847,Turkey
5848,Turkey breast
5849,Nuggets
5850,Nuggets
5851,Schnitzel
5852,Turkey breast
5853,Nuggets
5854,Turkey
5855,Turkey
5856,Turkey Shawarma
5857,Turkey Shawarma
5858,Beef Shawarma
5859,Schnitzel
5860,Turkey
5861,Turkey Thighs
5862,Schnitzel
5863,Turkey legs
5864,Turkey Thighs
5865,Turkey Thighs
5866,Turkey Shawarma
5867,Turkey Shawarma
5868,Turkey Shawarma
5869,Turkey
5870,Turkey
5871,Turkey
5872,Turkey Shawarma
5873,Turkey
5874,Turkey
5875,Turkey
5876,Turkey
5877,Turkey in BBQ
5878,Jerusalem mixed grill
5879,Turkey breast
5880,Turkey
5881,Turkey breast
5882,Turkey
5883,Turkey breast
5884,Turkey breast
5885,Turkey breast
5886,Turkey legs
5887,Turkey legs
5888,Turkey legs
5889,Turkey Thighs
5890,Turkey Thighs
5891,Turkey Necks
5892,Turkey and Potatoes
5893,Turkey Gizzards
5894,Turkey Wings
5895,Turkey Wings
5896,Turkey
5897,Turkey
5898,Stuffed Turkey
5899,Turkey fillet
5900,Turkey
5901,Turkey meatballs
5902,Turkey
5903,Turkey
5904,Turkey
5905,Turkey
5906,Turkey meatballs
5907,Meatballs and rice
5908,Schnitzel
5909,Turkey in BBQ
5910,Turkey meatballs
5911,Turkey meatballs
5912,Duck
5913,Duck a l'Orange
5914,Duck
5915,Goose
5916,Pigeon meat
5917,Quail meat
5918,Quail meat
5919,Quail meat
5920,Liver
5921,Beef liver
5922,Calf Liver
5923,Beef liver
5924,Beef liver
5925,Beef liver
5926,Calf Liver
5927,Chicken Liver
5928,Chicken Liver
5929,Chicken Liver
5930,Chicken Liver
5931,Chicken Liver
5932,Chicken Liver
5933,Chicken Liver
5934,Chicken Liver
5935,Chicken Liver
5936,Turkey liver
5937,Turkey liver
5938,Turkey liver
5939,Lamb Liver
5940,Pate
5941,Pate
5942,Chopped Liver
5943,Chopped Liver
5944,Chicken
5945,Heart
5946,Heart
5947,Chicken Hearts
5948,Chicken Hearts
5949,Kidney
5950,Brain
5951,Beef tongue
5952,Beef tongue
5953,Beef tongue
5954,Beef tongue
5955,Veal Tongue
5956,Lamb Tongue
5957,Beef
5958,Chicken Gizzards
5959,Chicken Gizzards
5960,Beef lung
5961,Beef spleen
5962,Jellies
5963,Sausages
5964,Sausage and cabbage
5965,Sausages
5966,Sausages
5967,Sausages
5968,Sausages
5969,Sausages
5970,Sausages
5971,Sausages
5972,Sausages
5973,Sausages
5974,Sausages
5975,Sausages
5976,Sausages
5977,Sausages
5978,Cold cut
5979,Mortadella
5980,Cold cut
5981,Cold cut
5982,Cold cut
5983,Cold cut
5984,Cold cut
5985,Cold cut
5986,Cold cut
5987,Cold cut
5988,Cold cut
5989,Cold cut
5990,Cold cut
5991,Cold cut
5992,Cold cut
5993,Pastrami
5994,Pastrami
5995,Pastrami
5996,Pastrami
5997,Pastrami
5998,Pastrami
5999,Pastrami
6000,Pastrami
6001,Pastrami
6002,Pastrami
6003,Chicken Sausage
6004,Chicken Sausage
6005,Vegetable Schnitzel
6006,Surimi
6007,Gilthead Bream
6008,Gilthead Bream
6009,Fried Gilthead Bream
6010,Fried Gilthead Bream
6011,Gilthead Bream
6012,Gilthead Bream
6013,Fish balls
6014,Fish balls
6015,Fish balls
6016,Fish balls
6017,Fish balls
6018,Fish balls
6019,Fish balls
6020,Anchovy
6021,Anchovy Spread
6022,Tilapia
6023,Tilapia
6024,Tilapia
6025,Tilapia
6026,Tilapia
6027,Fried Tilapia
6028,Fried Tilapia
6029,Fried Tilapia
6030,Tilapia
6031,Tilapia
6032,Tilapia
6033,Carp
6034,Carp
6035,Carp
6036,Stuffed Carp
6037,Gefilte fish
6038,Stuffed Carp
6039,Fried Carp
6040,Carp
6041,Fried Carp
6042,Carp
6043,Fish schnitzel
6044,Fish schnitzel
6045,Saithe
6046,Coated Saithe
6047,Smoked Saithe
6048,Saithe
6049,Cod
6050,Cod
6051,Cod
6052,Cod
6053,Cod
6054,Cod
6055,Coated Cod
6056,Cod balls
6057,Cod schnitzel
6058,Fried Whiting Fish
6059,Fried Eel
6060,Eel
6061,Halibut
6062,Halibut
6063,Fried Halibut
6064,Halibut
6065,Halibut
6066,Halibut
6067,Fried Halibut
6068,Fried Halibut
6069,Halibut
6070,Fried Halibut
6071,Halibut
6072,Halibut
6073,Fried Salmon
6074,Cod
6075,Cod
6076,Cod and carrots
6077,Cod and mushrooms
6078,Fried Cod
6079,Fried Cod
6080,Cod
6081,Fried Cod
6082,Cod
6083,Alaska pollock
6084,Cod
6085,Fried Cod
6086,Fried Cod
6087,Alaska pollock
6088,Cod
6089,Cod and Potatoes
6090,Fried Cod
6091,Smoked Cod
6092,Alaska pollock
6093,Herring
6094,Dried Herring
6095,Pickled Herring
6096,Pickled Herring
6097,Smoked Herring
6098,Smoked Herring
6099,Herring
6100,Herring fillets
6101,Herring
6102,Salted Herring
6103,Herring
6104,Pickled Herring
6105,Smoked Mackerel Fish
6106,Mackerel Fish
6107,Pickled Mackerel Fish
6108,Canned Mackerel Fish
6109,Smoked Mackerel Fish
6110,Smoked Mackerel Fish
6111,Pickled Mackerel Fish
6112,Grey Mullet
6113,Grey Mullet
6114,Grey Mullet
6115,Grey Mullet
6116,Fried Grey Mullet
6117,Fried Grey Mullet
6118,Fried Grey Mullet
6119,Grey Mullet
6120,Grey Mullet
6121,Red Mullet
6122,Red Mullet
6123,Red Mullet
6124,Fried Red Mullet
6125,Fried Red Mullet
6126,Red Mullet balls
6127,Ocean perch
6128,Ocean perch
6129,Fried Ocean perch
6130,Fish balls
6131,Ocean perch
6132,Nile perch
6133,Nile perch
6134,Fish
6135,Nile perch
6136,Nile perch
6137,Nile perch
6138,Fried Nile perch
6139,Nile perch
6140,Nile perch
6141,Nile perch
6142,Fried Nile perch
6143,Nile perch
6144,Nile perch
6145,Nile perch
6146,Fish balls
6147,Fried Nile perch
6148,Fried Nile perch
6149,Fried Nile perch
6150,Nile perch
6151,Fish balls
6152,Fish schnitzel
6153,Fish schnitzel
6154,Fried Nile perch
6155,Fish balls
6156,Nile perch
6157,Fish balls
6158,Fish schnitzel
6159,Red Snapper
6160,Fried Red Snapper
6161,Red Snapper
6162,Red Snapper
6163,Red Snapper
6164,Salmon
6165,Salmon
6166,Salmon
6167,Salmon
6168,Salmon
6169,Salmon
6170,Salmon
6171,Fish schnitzel
6172,Salmon
6173,Salmon
6174,Smoked Salmon
6175,Salmon
6176,Fish Soup
6177,Canned Salmon
6178,Smoked Salmon
6179,Salmon Mousse
6180,Salmon
6181,Salmon Spread
6182,Sardine
6183,Sardine
6184,Fried Sardine
6185,Fried Sardine
6186,Canned Sardine
6187,Sardine
6188,Sardine
6189,Canned Sardine
6190,Canned Sardine
6191,Canned Sardine
6192,Smoked Sardine
6193,Grouper
6194,Grouper
6195,Grouper
6196,Fried Grouper
6197,Grouper
6198,Grouper
6199,Grouper
6200,Trout
6201,Trout
6202,Trout
6203,Trout
6204,Smoked Trout
6205,Smoked Trout
6206,Tuna Fish
6207,Tuna Fish
6208,Tuna Fish
6209,Tuna Fish
6210,Fish balls
6211,Tuna Fish
6212,Fried Tuna Fish
6213,Fish schnitzel
6214,Tuna Fish
6215,Tuna Salad
6216,Tuna Salad
6217,Smoked Tuna Fish
6218,Smoked Tuna Fish
6219,Fish balls
6220,Tuna Salad
6221,Tuna Salad
6222,Smoked Tuna Fish
6223,Tuna Salad
6224,Tuna Spread
6225,Canned Tuna Fish
6226,Tuna Mousse
6227,Canned Tuna Fish
6228,Whiting Fish
6229,Octopus
6230,Fish Roe Salad
6231,Roe
6232,Fish Roe Salad
6233,Roe
6234,Fish Roe Salad
6235,Crab
6236,Lobster
6237,Oysters
6238,Oysters
6239,Oysters
6240,Shrimp
6241,Sea food sauce
6242,Stuffed Chicken
6243,Stuffed Chicken
6244,Chicken legs
6245,Meatballs and Beans
6246,Chicken Meatballs
6247,Chicken Meatballs
6248,Chicken Meatballs
6249,Meatballs
6250,Meatballs and Potatoes
6251,Chicken Meatballs
6252,Chicken Meatballs
6253,Chicken Meatballs
6254,Chicken and Beans
6255,Chicken and Soy
6256,Turkey breast
6257,Pullet
6258,Pullet
6259,Stuffed Chicken
6260,Chicken breast
6261,Chicken and vegetables
6262,Chicken
6263,Chicken and vegetables
6264,Chicken and Rice
6265,Chicken
6266,Chicken breast
6267,Stuffed Chicken
6268,Chicken and vegetables
6269,Sardine
6270,Meatballs
6271,Kebab
6272,Meatballs and potatoes
6273,Meatballs
6274,Meatballs
6275,Meatballs
6276,Meatballs
6277,Meatballs
6278,Meatballs and potatoes
6279,Meatballs
6280,Meatballs
6281,Meatballs
6282,Meatballs
6283,Meatballs
6284,Veal and Potatoes
6285,Beef Noodle Pie
6286,Beef and Rice
6287,Meatballs and Rice
6288,Meatballs and Rice
6289,Schnitzel sandwich
6290,Nuggets
6291,Crispy Fish Sandwich
6292,Potato Pie
6293,Turkey meatballs
6294,Turkey meatballs
6295,Turkey meatballs
6296,Turkey meatballs
6297,Turkey Kebab
6298,Meatballs
6299,Turkey meatballs
6300,Meatballs
6301,Meatballs and Potatoes
6302,Turkey meatballs
6303,Turkey meatballs
6304,Turkey meatballs
6305,Turkey meatballs
6306,Turkey meatballs
6307,Meatballs and Potatoes
6308,Chicken and Potatoes
6309,Chicken and Potatoes
6310,Chicken and Potatoes
6311,Chicken and Potatoes
6312,Chicken and vegetables
6313,Chicken and Potatoes
6314,Chicken and carrots
6315,Chicken and vegetables
6316,Stuffed Chicken
6317,Turkey and vegetables
6318,Stuffed Turkey
6319,Turkey and vegetables
6320,Turkey meatballs
6321,Meatballs
6322,Meatballs and potatoes
6323,Meatballs
6324,Beef and Potatoes
6325,Turkey and vegetables
6326,Turkey and Potatoes
6327,Chicken and Rice
6328,Chicken and Rice
6329,Chicken
6330,Chicken Pie
6331,Goulash
6332,Beef and Mushrooms
6333,Goulash
6334,Beef
6335,Goulash
6336,Beef and vegetables
6337,Veal
